Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
AWE US,New Cingular Wireless Services Inc,10620,,,0.075987,360,29.5,7.838983059,10620,4/27/00,00209A106,,9300,"26.00
 - 32.00
",Priced Within Range,Telecommunications,Communications,Cellular Telecom,0.000340715
VZW US,Cellco Partnership,5000,,,11.8,0,0,,0, ,N.A.,,, ,,Telecommunications,Communications,Cellular Telecom,
3527578Q US,Agere Systems Inc,4140,-6.3,1.2,3.3,600,6,0.3333333433,3600,3/28/01,00845V308,-0.0286492,,"6.00
 - 7.00
",Priced Within Range,Semiconductors,Technology,Electronic Compo-Semicon,
BGPTQ US,BearingPoint Inc,2328.38,-7.4,-1,-1.7,0,18,30.46875,0,2/8/01,74002205,-14.2,402,"16.00
 - 18.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Consulting Services,0.00910124
GENUQ US,Genuity Inc,1913.04,,,-124.9,193.169,11,-14.48863602,2124.86,6/28/00,3.72E+206,,,"12.00
 - 15.00
",Priced Below Range,Internet,Communications,Web Hosting/Design,
1235274D US,GenOn Energy Inc,1794,-14.6,-18.5,7.9,292,30,10,8760,5/1/01,3.72E+111,,195390,"28.00
 - 30.00
",Priced Within Range,Electric,Utilities,Electric-Generation,0.0252798
MIRKQ US,Mirant Corp/Old,1276,-11.4,-10.4,-16.8,330,22,34.65909195,7260,9/27/00,604675108,0.1,21112,"15.00
 - 17.00
",Priced Above Range,Electric,Utilities,Independ Power Producer,0.00520682
BWNG US,Broadwing Corp,1138.5,,,-9.5,334.877,36,135.3298645,12055.6,7/28/00,1.12E+105,,249,"28.00
 - 30.00
",Priced Above Range,Telecommunications,Communications,Telephone-Integrated,0.000276808
BLS/L US,BellSouth LLC,1000,,,,0,0,,0, ,79860201,,, ,,Telecommunications,Communications,Telephone-Integrated,
VSGIQ US,Viasystems Group Inc/Old,924,-13,25.3,-28.7,0,21,-8.333333015,0,3/24/00,92553H100,,,"16.00
 - 19.00
",Priced Above Range,Electronics,Industrial,Circuit Boards,
EVC US,Entravision Communications Corp,759,22.8,-40.8,-22,103.509,16.5,15.15151501,1707.9,8/2/00,29382R107,0.8,5.19E+07,"13.00
 - 15.00
",Priced Above Range,Internet,Communications,E-Marketing/Info,63.5882
172563Z US,NII Holdings Inc/Old,720,105.8,-367.4,-104.4,45.5,0,,0, ,65332A109,-0.4,756111,"10.00
 - 12.00
",,Telecommunications,Communications,Cellular Telecom,3.78056
1856613D US,Monsanto Co,700,8.4,15.4,11.3,255,20,20,5100,10/18/00,61166W101,7.3,,"21.00
 - 24.00
",Priced Below Range,Chemicals,Basic Materials,Agricultural Chemicals,
ON US,ON Semiconductor Corp,552,-14.1,22.2,11.5,171.167,16,37.109375,2738.67,4/28/00,682189105,4.4,4.61E+08,"15.00
 - 17.00
",Priced Within Range,Semiconductors,Technology,Electronic Compo-Semicon,109.16
3293866Q US,Orion Power Holdings Inc,550,6.1,-45.7,,90.5959,20,0,1811.92,11/14/00,686286105,,,"17.00
 - 20.00
",Priced Within Range,Electric,Utilities,Independ Power Producer,
NWPWQ US,NewPower Holdings Inc,504,339.9,-88.4,-65,120.428,21,28.5714283,2528.99,10/5/00,652463100,-5.6,,"18.00
 - 20.00
",Priced Above Range,Electric,Utilities,Electric-Distribution,
ISIL US,Renesas Electronics America Inc,500,3.9,8.8,4.1,90.484,25,116,2262.1,2/25/00,46069S109,0.7,44664,"18.00
 - 20.00
",Priced Above Range,Semiconductors,Technology,Electronic Compo-Semicon,0.0324149
80825Q US,MPS Merchant Services Inc,479.4,59,0.3,,0,24,16.04166603,0,4/24/01,03840J106,,,"22.00
 - 25.00
",Priced Within Range,Pipelines,Energy,Pipelines,
1902177D US,Nextel Partners Inc,470,,,23.9,158.928,20,50.625,3178.56,2/23/00,65333F107,,10700,"16.00
 - 18.00
",Priced Above Range,Telecommunications,Communications,Cellular Telecom,0.00510317
