Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
0848543D US,Cole Credit Property Trust V Inc,3000,,,,0,0,,0, ,N.A.,,36825.8,"25.00
 - 25.00
",,REITS,Financial,REITS-Shopping Centers,3.86992
PAGP US,Plains GP Holdings LP,2912.41,2.7,0.2,0.3,132.382,22,0,2912.4,10/16/13,72651A207,12.6,1.82E+08,"22.00
 - 25.00
",Priced Within Range,Pipelines,Energy,Pipelines,92.2277
HLT US,Hilton Worldwide Holdings Inc,2705.74,9.1,13.7,9.6,984.615,20,7.5,19692.3,12/12/13,43300A203,8.1,2.66E+08,"18.00
 - 21.00
",Priced Within Range,Lodging,"Consumer, Cyclical",Hotels&Motels,110.896
COLE US,Cole Office & Industrial REIT CCIT II Inc,2500,,,,0,0,,0, ,193293107,,,"10.00
 - 10.00
",,REITS,Financial,REITS-Office Property,
DSL US,DoubleLine Income Solutions Fund,2300,,,,0,25,0,0,4/26/13,258622109,,2.37E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,20.7162
TWTR US,Twitter Inc,2093,36.6,-4.3,-0.7,555.197,26,72.69230652,14435.1,11/7/13,90184L102,0.7,1.01E+08,"23.00
 - 25.00
",Priced Above Range,Internet,Communications,Internet Content-Entmnt,13.1415
SC US,Santander Consumer USA Holdings Inc,2045.81,2.5,11.2,6.3,347.381,24,5,8337.14,1/23/14,80283M101,12.6,3.06E+08,"22.00
 - 24.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Auto Loans,99.9314
BESP US,Franklin BSP Realty Trust Inc,2000,-3.6,17.4,1.6,0,25,-57.59999847,0,4/22/14,08181T100,,,"25.00
 - 25.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,
PDRG US,Phillips Edison Grocery Center REIT II Inc,2000,,,,0,0,,0,1/7/15,71844W100,,,"25.00
 - 25.00
",,REITS,Financial,REITS-Shopping Centers,
HPITQ US,Hospitality Investors Trust Inc,2000,,,,0,0,,0, ,44107J108,,3.91E+07,"25.00
 - 25.00
",,Real Estate,Financial,Real Estate Oper/Develop,100
AR US,Antero Resources Corp,1802.41,-7.6,1.3,0.7,265.624,44,18.20454597,11687.5,10/10/13,03674X106,2.7,2.78E+08,"38.00
 - 42.00
",Priced Above Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,89.1838
GRAH US,Griffin-American Healthcare REIT III Inc,1750,1.7,0.1,,0,0,,0, ,398183103,1.1,,"10.00
 - 10.00
",,REITS,Financial,REITS-Health Care,
FPF US,First Trust Intermediate Duration Preferred & Income Fund,1517.5,,,,0,25,0,0,5/24/13,33718W103,,1.59E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,26.0947
CBA US,ClearBridge American Energy MLP Fund Inc,1207.5,,,,0,20,0,0,6/26/13,184691103,,4.86E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,8.29403
