Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
MA US,Mastercard Inc,2579.26,12.2,45.7,28.4,75.0178,39,17.94871712,2925.69,5/24/06,57636Q104,15.9,9.47E+08,"40.00
 - 43.00
",Priced Below Range,Diversified Finan Serv,Financial,Finance-Credit Card,104.945
ETW US,Eaton Vance Tax Managed Global Buy Write Opportunities Fund,2000,,,,0,20,0,0,9/27/05,27829C105,,2.76E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,25.4234
LDOS US,Leidos Holdings Inc,1293.75,7.9,7.5,9.7,86.25,15,21.20000076,1293.75,10/13/06,525327102,10.3,1.13E+08,"13.00
 - 15.00
",Priced Within Range,Computers,Technology,Computer Services,88.3983
562172Z US,Innovene Inc,1000,,,,0,0,,0, ,N.A.,,, ,,Chemicals,Basic Materials,Petrochemicals,
BDJ US,BlackRock Enhanced Equity Dividend Trust,945,,,,0,15,0.1333333403,0,8/26/05,09251A104,,3.43E+07,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,19.403
KFN US,KKR Financial Holdings LLC,900,-20.4,10.6,3.2,70.1427,24,2.083333254,1683.42,6/24/05,48248A306,,186,"23.00
 - 25.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,186
3681690Q US,BlackRock World Investment Trust,778.555,,,,0,15,0.06666667014,0,10/24/05,09250K103,,,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
205987Z US,Dividend Capital Trust Inc,764.088,,,,0,0,,0, ,25537Q101,,,"10.50
 - 10.50
",,REITS,Financial,REITS-Diversified,
CF US,CF Industries Holdings Inc,759,-10.4,20.5,8.7,55,16,1.25,880,8/11/05,125269100,12.5,1.83E+08,"15.00
 - 17.00
",Priced Within Range,Chemicals,Basic Materials,Agricultural Chemicals,110.082
KYE US,Kayne Anderson Energy Total Return Fund Inc,750,,,,0,25,0,0,6/28/05,48660P104,,2.58E+06,"25.00
 - 25.00
",Priced Within Range,Equity Fund,Funds,Unclassified,7.15887
LNR US,LNR Capital Corp,750,,,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Mortgage,
