Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
GM US,General Motors Co,18140.1,9,3.2,2.1,1500,33,3.606060505,49500,11/18/10,37045V100,18,9.78E+08,"32.00
 - 33.00
",Priced Within Range,Auto Manufacturers,"Consumer, Cyclical",Auto-Cars/Light Trucks,101.229
HCA US,HCA Healthcare Inc,4600,8.6,8.1,9.9,0,0,,0, ,40412C101,40.6,2.52E+08, ,,Healthcare-Services,"Consumer, Non-cyclical",Medical-Hospitals,102.529
HCA US,HCA Healthcare Inc,4353.9,8.6,8.1,9.9,534.135,30,3.400000095,16024,3/10/11,40412C101,40.6,2.52E+08,"27.00
 - 30.00
",Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Medical-Hospitals,102.529
KMI US,Kinder Morgan Inc,3293.59,-1.5,17.3,3.6,707,30,3.5,21210,2/11/11,49456B101,2.6,1.58E+09,"26.00
 - 29.00
",Priced Above Range,Pipelines,Energy,Pipelines,71.0603
0290723D US,Cole Corporate Income Trust Inc,2500,,,,0,0,,0, ,N.A.,,,"10.00
 - 10.00
",,REITS,Financial,REITS-Shopping Centers,
9876549D US,Nielsen NV,1889.29,,,,358.344,23,8.695652008,8241.91,1/26/11,N.A.,,,"20.00
 - 22.00
",Priced Above Range,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,
LMAC US,Liberty Mutual Agency Corp,1286.18,,,,360,0,,0, ,53080A109,,,"18.00
 - 20.00
",,Insurance,Financial,Financial Guarantee Ins,
CEM US,ClearBridge MLP & Midstream Fund Inc,1268.31,,,,0,20,2.150000095,0,6/25/10,184692200,,231572,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,3.09306
NTG US,Tortoise Midstream Energy Fund Inc,1135,,,,0,25,0,0,7/28/10,89148B200,,66834,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,1.31232
BBN US,BlackRock Taxable Municipal Bond Trust,1083,,,,0,20,0,0,8/27/10,09248X100,,2.21E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,35.715
NHHS US,NorthStar Healthcare Income Inc,1000,0.8,47.4,8.9,0,0,,0, ,66705T105,0.1,1.48E+07,"10.00
 - 10.00
",,REITS,Financial,REITS-Health Care,7.97069
BKU US,BankUnited Inc,900.45,4.1,22.9,0.6,101.322,27,5.185184956,2735.69,1/28/11,06652K103,5.8,7.88E+07,"23.00
 - 25.00
",Priced Above Range,Banks,Financial,Commer Banks-Southern US,104.699
BCX US,BlackRock Resources & Commodities Strategy Trust,875,,,,0,20,0.05000000075,0,3/29/11,09257A108,,3.04E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,38.8527
KNX US,Knight-Swift Transportation Holdings Inc,872.85,3.7,1.5,0.9,139.467,11,0.9090909362,1534.14,12/16/10,499049104,4.9,1.67E+08,"13.00
 - 15.00
",Priced Below Range,Transportation,Industrial,Transport-Truck,103.384
UNVR US,Univar Solutions Inc,862.5,20.3,4.7,5,0,0,,0, ,91336L107,3.3,3.03E+07, ,,Distribution/Wholesale,"Consumer, Cyclical",Distribution/Wholesale,19.2037
TOYS US,Toys R Us Inc,800,-2.2,-0.3,-8,0,0,,0, ,N.A.,,4966, ,,Retail,"Consumer, Cyclical",Retail-Toy Store,0.010062
CPER US,United States Copper Index Fund,750,,,,0,0,,0,11/15/11,911718104,,925245,"25.00
 - 25.00
",,Commodity Fund,Funds,Commodity,16.0912
1448867D US,FTS International Bonds Inc,690,,,,0,0,,0, ,N.A.,,, ,,Oil&Gas Services,Energy,Oil-Field Services,
OASPQ US,Chord Energy Corp,676.2,34.7,16.1,8.5,92.2153,14,6.285714149,1291.01,6/17/10,674215108,40.4,2.49E+07,"13.00
 - 15.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,7.76097
EOLA US,Eola Property Trust,675,16.2,-4.3,,0,0,,0, ,N.A.,,, ,,REITS,Financial,REITS-Office Property,
APR LN,APR Energy Ltd,669.757,187.7,-21.6,-12.8,0,1000,-1.25,0,2/4/10,N.A.,1.4,1890, ,,Electric,Utilities,Electric-Generation,0.00200527
AAT US,American Assets Trust Inc,648.312,3.7,15.9,2.3,36.66,20.5,3.658536673,751.53,1/13/11,24013104,3.4,5.40E+07,"19.00
 - 21.00
",Priced Within Range,REITS,Financial,REITS-Diversified,88.3237
