Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
FDC US,First Data Corp,2817.23,-21.1,10.5,2.1,176.077,16,-1.5625,14387.2,10/15/15,32008D106,2.4,5.77E+08,"18.00
 - 20.00
",Priced Below Range,Software,Technology,Data Processing/Mgmt,100
ACI US,Albertsons Cos Inc,1697.96,1.4,1.1,3.6,475.139,0,,0, ,13091103,4.6,5.18E+08,"23.00
 - 26.00
",,Food,"Consumer, Non-cyclical",Food-Retail,89.414
TGE US,Tallgrass Energy LP,1384.03,9.4,28.6,4.1,47.725,29,9.482758522,1203.5,5/7/15,874696107,3.8,,"24.00
 - 27.00
",Priced Above Range,Pipelines,Energy,Pipelines,
FIT US,Fitbit Inc,841.225,-5.1,-22.3,-20.2,36.575,20,48.40000153,731.5,6/18/15,33812L102,-0.6,3.76E+07,"17.00
 - 19.00
",Priced Above Range,Electronics,Industrial,Electronic Measur Instr,15.3539
1811045D US,Blue Buffalo Pet Products Inc,778.126,10.8,15.1,25.8,196.034,20,36,3920.68,7/22/15,09531U102,0.9,,"16.00
 - 18.00
",Priced Above Range,Food,"Consumer, Non-cyclical",Food-Misc/Diversified,
TRU US,TransUnion,764.489,9.2,6.8,2.5,182.22,22.5,12.88888931,4099.95,6/25/15,89400J107,4.2,2.12E+08,"21.00
 - 23.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Serv-Finance,108.762
EQGP US,EQGP Holdings LP,714.15,13.3,31.4,5.5,266.165,27,21.92592621,7186.45,5/12/15,26885J103,2.4,47000,"21.00
 - 24.00
",Priced Above Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,0.0155393
1865332D US,TerraForm Global Inc,675,72.6,-24.7,-2.9,117.506,15,-6.666666508,1762.59,7/31/15,88104M101,-0.1,,"15.00
 - 15.00
",Priced Within Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
THW US,abrdn World Healthcare Fund,580,,,,0,20,0,0,6/26/15,87911L108,,6.76E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,16.9351
RRR US,Red Rock Resorts Inc,579.289,12.4,7.9,3.8,41.4282,19.5,-4.102564335,759.554,4/27/16,75700L108,9.2,5.61E+07,"18.00
 - 21.00
",Priced Within Range,Entertainment,"Consumer, Cyclical",Gambling (Non-Hotel),93.4477
