Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
ATH US,Athene Holding Ltd,1242,-26.6,16.7,1,52.9013,40,10.125,2116.05,12/9/16,N.A.,9.2,21541,"38.00
 - 42.00
",Priced Within Range,Insurance,Financial,Life/Health Insurance,0.0105694
MGP US,MGM Growth Properties LLC,1207.5,-1.3,26.2,2.1,57.5,21,4.809523582,1050,4/20/16,55303A105,4.5,3.40E+07,"18.00
 - 21.00
",Priced Within Range,REITS,Financial,REITS-Hotels,21.6823
USFD US,US Foods Holding Corp,1175.56,6.4,1.3,3.7,220.296,23,8.304347992,5066.8,5/26/16,912008109,4.8,2.55E+08,"21.00
 - 24.00
",Priced Within Range,Food,"Consumer, Non-cyclical",Food-Wholesale/Distrib,110.453
VVV US,Valvoline Inc,759,12.1,13,10.7,200,22,5,4400,9/23/16,92047W101,2,1.28E+08,"20.00
 - 23.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Auto Repair Centers,100.481
XOGAQ US,Extraction Oil & Gas Inc,728.333,-38.8,-228.3,-0.0308302,146.794,19,15,2789.09,10/12/16,30227M105,1.9,1.77E+07,"15.00
 - 18.00
",Priced Above Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,12.7933
RWC AU,Reliance Worldwide Corp Ltd,698.985,0.1,8.8,6,525,2.5,18,1002.09, ,N.A.,0.3,7.32E+08,"2.27
 - 2.50
",Priced Within Range,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,94.6249
JELD US,JELD-WEN Holding Inc,661.25,-12.2,-5,-6.7,104.882,23,13.56521702,2412.29,1/27/17,47580P103,1.2,8.96E+07,"21.00
 - 23.00
",Priced Within Range,Building Materials,Industrial,Bldg Prod-Doors&Windows,105.014
SNDR US,Schneider National Inc,612.75,-3.7,2.2,2.4,93.8119,19,0,3297.23,4/6/17,80689H102,3.9,5.98E+07,"18.00
 - 20.00
",Priced Within Range,Transportation,Industrial,Transport-Truck,64.7124
OTG US,OTG EXP Inc,585,24.5,-17,,45.2283,0,,0, ,67113P107,,,"16.00
 - 18.00
",,Retail,"Consumer, Cyclical",Retail-Restaurants,
NEX US,NexTier Oilfield Solutions Inc,584.706,127.9,9.7,33.6,103.128,19,13.94736862,1959.43,1/20/17,65290C105,1.8,6.76E+07,"17.00
 - 19.00
",Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,29.5562
FHB US,First Hawaiian Inc,557.75,3.6,28.4,0.9,142.623,23,5.434782505,3280.32,8/4/16,32051X108,2.4,1.28E+08,"21.00
 - 23.00
",Priced Within Range,Banks,Financial,Commer Banks Non-US,101.1
GTYHU US,GTY Technology Holdings Inc/Cayman Islands,552,,,,55.2,10,0.5,552,10/27/16,N.A.,,,"10.00
 - 10.00
",Priced Within Range,Software,Technology,Applications Software,
SRAQU US,Permian Resources Corp,500,58.7,19.2,6.1,45,10,2.099999905,450,2/24/16,82811P200,5.3,,"10.00
 - 10.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
2461881D US,Jagged Peak Energy Inc,473.985,106.8,30.2,8.9,212.938,15,-4.466666698,3194.07,1/27/17,47009K107,2,,"16.00
 - 18.00
",Priced Below Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
APFH US,AdvancePierre Foods Holdings Inc,449.19,-2.6,8.6,12.3,78.586,21,14.28571415,1650.31,7/15/16,00782L107,2.7,1073,"20.00
 - 23.00
",Priced Within Range,Food Service,"Consumer, Cyclical",Food-Catering,0.00137208
2462345D US,WildHorse Resource Development Corp,446.957,94.4,17.5,4.8,93.6242,15,0.400000006,1404.36,12/14/16,96812T102,6.2,,"19.00
 - 21.00
",Priced Below Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
1729307D US,Conyers Park Acquisition Corp,402.5,,,,40.25,10,2.099999905,402.5,7/15/16,212894208,,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
GSHTU US,Verra Mobility Corp,400,7.5,3.5,1.8,40,10,2.5,400,1/13/17,382867208,1.3,225000,"10.00
 - 10.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Commercial Services,0.5625
GOLF US,Acushnet Holdings Corp,377.966,3.1,8.7,9.7,74.0936,17,5.588235378,1259.59,10/28/16,5098108,3.8,3.86E+07,"21.00
 - 24.00
",Priced Below Range,Leisure Time,"Consumer, Cyclical",Golf,64.474
FRTA US,Forterra Inc,331.56,16.5,6.2,6.7,63.7895,18,-8.333333015,1148.21,10/20/16,34960W106,1.5,,"19.00
 - 21.00
",Priced Below Range,Building Materials,Industrial,Bldg&Construct Prod-Misc,
FIV US,First Trust Senior Floating Rate 2022 Target Term Fund,325,,,,0,10,0,0,12/22/16,33740K101,,10153, ,,Closed-end Funds,Financial,Closed-end Funds,0.0283353
REVG US,REV Group Inc,316.25,-9.7,10.8,6.9,63.6972,22,13.63636398,1401.34,1/27/17,749527107,0.9,5.57E+07,"19.00
 - 21.00
",Priced Above Range,Auto Manufacturers,"Consumer, Cyclical",Auto-Med&Heavy Duty Trks,107.73
1910505D US,Organogenesis Holdings Inc,310,11.2,0.1,0.1,31,10,-1.399999976,310,10/11/16,N.A.,0.1,3.97E+06,"10.00
 - 10.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,10.7874
1780951D US,Colony Global Acquisition Corp,300,,,,30,0,,0, ,N.A.,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
PSDO US,Presidio Inc,262.721,9.4,1.1,1.5,90.7108,14,1.785714269,1269.95,3/10/17,74102M103,1.2,,"14.00
 - 16.00
",Priced Within Range,Computers,Technology,Computer Services,
CWH US,Camping World Holdings Inc,261.188,-2,-0.6,-0.7,18.936,22,2.272727251,405.403,10/7/16,13462K109,5.1,6.91E+07,"21.00
 - 23.00
",Priced Within Range,Retail,"Consumer, Cyclical",Retail-Automobile,110.445
JCO US,Nuveen Credit Opportunities 2022 Target Term Fund,255,,,,0,10,0.1000000015,0,3/29/17,67075U102,,,"10.00
 - 10.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
HLACU US,Highland Acquisition Corp,250,,,,25,0,,0, ,N.A.,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
1712099D US,Waitr Holdings Inc,250,-38.6,-184.9,-124.8,25,10,0,0,5/26/16,51476W206,-3.1,4.58E+06,"10.00
 - 10.00
",Priced Within Range,Internet,Communications,E-Commerce/Services,6.55088
COTV US,Cotiviti Holdings Inc,245.78,8.5,20.3,7.6,90.167,19,-9.947368622,1704.89,5/26/16,22164K101,1.9,,"17.00
 - 19.00
",Priced Within Range,Software,Technology,Medical Information Sys,
JHD US,Nuveen High Income December 2019 Target Term Fund,245,,,,0,10,0.200000003,0,5/11/16,6.71E+111,,1.71E+06,"10.00
 - 10.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,6.32917
SCACU US,Saban Capital Acquisition Corp,235,140.4,-97.2,-1.6,23.5,10,0.5,235,9/16/16,78516C205,-0.0713221,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
OPP US,RiverNorth/DoubleLine Strategic Opportunity Fund Inc,220.17,,,,0,20,-0.1000000015,0,9/28/16,76882G107,,7.58E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,31.8267
IHIT US,Invesco High Income 2023 Target Term Fund,216,,,,0,10,0,0,11/23/16,46135X108,,, ,,Closed-end Funds,Financial,Closed-end Funds,
EHT US,Eaton Vance 2021 Target Term Trust,214.508,,,,0,10,0.200000003,0,5/26/16,27829W101,,1.84E+06,"10.00
 - 10.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,8.59179
BGIO US,BlackRock 2022 Global Income Opportunity Trust,210,,,,0,10,0,0,2/27/17,09258P104,,,"10.00
 - 10.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,
1385065D LN,Evofem Holdings Inc,200.364,,,,0,0,,0, ,N.A.,,, ,,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv,
0605119D US,Octillion Power Systems Inc,200,,,,0,0,,0, ,N.A.,,, ,,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,
ATKR US,Atkore Inc,192,-9,14.7,12.9,62.4584,16,0,999.334,6/10/16,47649108,15,4.04E+07,"20.00
 - 22.00
",Priced Below Range,Electronics,Industrial,Electronic Compo-Misc,117.361
MEDP US,Medpace Holdings Inc,185.15,11.8,19.1,21.5,40.6921,23,20.82608604,935.918,8/11/16,58506Q109,19.6,3.22E+07,"20.00
 - 23.00
",Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv,106.411
PCSB US,PCSB Financial Corp,178.264,4.5,26.4,0.8,18.1651,10,64.59999847,181.651,4/21/17,69324R104,1.4,3.66E+06,"10.00
 - 10.00
",Priced Within Range,Banks,Financial,Commer Banks-Eastern US,23.8954
FNTEU US,International Money Express Inc,175,-0.0130553,8.9,11.3,23.16,10,0.5,231.6,1/20/17,31810G208,,,"10.00
 - 10.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Consumer Loans,
TWLO US,Twilio Inc,172.5,7.3,-2.4,-1,11.5,15,91.93333435,1233,6/23/16,90138F102,4.3,1.32E+08,"12.00
 - 14.00
",Priced Above Range,Software,Technology,Computer Software,85.9856
BL US,Blackline Inc,168.13,10.7,24.6,8.2,50.6211,17,39.41176605,860.559,10/28/16,09239B109,3,6.71E+07,"16.00
 - 17.00
",Priced Within Range,Software,Technology,Enterprise Software/Serv,106.404
APPD US,AppDynamics Inc,168,83.9,-89,,125.85,0,,0, ,03780P104,-1.1,,"12.00
 - 14.00
",,Software,Technology,Enterprise Software/Serv,
ELF US,elf Beauty Inc,162.916,76.8,12.4,8.2,44.3798,17,55.88235474,754.457,9/22/16,26856L103,1.3,6.67E+07,"14.00
 - 16.00
",Priced Above Range,Cosmetics/Personal Care,"Consumer, Non-cyclical",Cosmetics&Toiletries,118.252
JPT US,Nuveen Preferred and Income Fu,162.5,,,,0,25,-0.400000006,0,1/27/17,67075T105,,,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
BBRX US,Braeburn Inc,161.538,,-162251,,29.5068,0,,0, ,10481L100,,,"18.00
 - 21.00
",,Healthcare-Services,"Consumer, Non-cyclical",Medical Labs&Testing Srv,
BVS US,Bioventus Inc,158.823,11.8,-5.8,-4.3,23.7276,0,,0, ,09075A108,0.6,4.77E+07,"16.00
 - 18.00
",,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,72.116
COUP US,Coupa Software Inc,153.18,33.9,-52.2,-10.7,49.221,18,84.8888855,885.978,10/6/16,22266L106,2.2,8.52E+06,"16.00
 - 18.00
",Priced Within Range,Software,Technology,Enterprise Software/Serv,11.2778
IGLEU US,Eagleline Acquisition Corp,150,,,,15,0,,0, ,27004J206,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
MIIIU US,Infrastructure and Energy Alternatives Inc,150,18.5,-4,-8.4,0,10,-3.700000048,0,7/7/16,55378T203,-0.3,,"10.00
 - 10.00
",Priced Within Range,Energy-Alternate Sources,Energy,Energy-Alternate Sources,
GMRE US,Global Medical REIT Inc,150,-1.6,4.7,0.5,17.6057,10,0.1000000015,176.057,6/29/16,37954A204,1,4.75E+07,"10.00
 - 12.00
",Priced Within Range,REITS,Financial,REITS-Health Care,71.0365
SND US,Smart Sand Inc,148.005,5.2,0.9,0.8,35.1162,11,-0.09090909362,386.278,11/4/16,83191H107,0.4,1.58E+07,"15.00
 - 18.00
",Priced Below Range,Oil&Gas Services,Energy,Oil Field Mach&Equip,36.9524
FBK US,FB Financial Corp,128.531,2,25.4,0.9,23.9848,19,9.210526466,455.711,9/16/16,30257X104,2.9,3.26E+07,"16.00
 - 18.00
",Priced Above Range,Banks,Financial,Commer Banks-Southern US,69.7574
NTLA US,Intellia Therapeutics Inc,124.2,59.5,-896.7,-41.6,35.9963,18,22.77777863,647.933,5/6/16,45826J105,-3.5,1.03E+08,"16.00
 - 18.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,99.8084
IRTC US,iRhythm Technologies Inc,123.049,20.1,-19.1,-16.6,22.0672,17,53.23529434,375.142,10/20/16,450056106,0.1,3.90E+07,"13.00
 - 15.00
",Priced Above Range,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,122.142
JNCE US,Jounce Therapeutics Inc,117.117,204.7,-62.1,-21.8,32.1218,16,7.8125,513.949,1/27/17,481116101,-0.5,1.74E+07,"13.00
 - 15.00
",Priced Above Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,33.2851
TUSK US,Mammoth Energy Services Inc,116.25,-39.2,-110.3,-38.3,37.5,15,-11.60000038,562.5,10/14/16,56155L108,3.7,3.90E+07,"15.00
 - 18.00
",Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,81.1126
APTI US,Apptio Inc,110.4,17.4,-13.5,-7.9,6.9,16,40.9375,596.573,9/23/16,03835C108,0.2,137660,"13.00
 - 15.00
",Priced Above Range,Software,Technology,Enterprise Software/Serv,0.302104
IVQ/U CN,Invesque Inc,109.25,-12.9,-21.5,-4.9,24.1965,10,1,241.965, ,46136U103,0.1,7.33E+08,"10.00
 - 11.00
",Priced Within Range,Real Estate,Financial,Real Estate Oper/Develop,80.1379
TLND US,Talend SA,108.675,15.9,-27.6,-22.7,6.0375,18,41.66666794,108.675,7/29/16,874224207,-0.8,3.29E+07,"15.00
 - 17.00
",Priced Above Range,Software,Technology,Computer Software,100.001
EDIT US,Editas Medicine Inc,108.56,-58.6,-733.7,-56.4,36.5845,16,13.75,585.352,2/3/16,28106W103,-2.5,5.52E+07,"16.00
 - 18.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,65.9053
QTNA US,Quantenna Communications Inc,108.408,25,1.4,2.1,32.8566,16,-3.125,525.706,10/28/16,74766D100,0.6,652995,"14.00
 - 16.00
",Priced Within Range,Computers,Technology,Computer Services,1.6912
KNSL US,Kinsale Capital Group Inc,105.6,29.6,26.1,9.5,20.9688,16,14.6875,335.501,7/28/16,49714P108,42.1,2.16E+07,"14.00
 - 16.00
",Priced Within Range,Insurance,Financial,Property/Casualty Ins,92.8228
AVXS US,AveXis Inc,105.558,,,-89.7,22.9285,20,-9.75,458.57,2/11/16,05366U100,-5.2,,"19.00
 - 21.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,
RARX US,Ra Pharmaceuticals Inc,105.386,20,-3422.9,-40.8,22.5462,13,0,293.101,10/26/16,74933V108,-1.9,,"12.00
 - 14.00
",Priced Within Range,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,
NODK US,NI Holdings Inc,103.5,-11,2,-0.4,23,10,47.5,230,3/16/17,65342T106,1.8,5.56E+06,"10.00
 - 10.00
",Priced Within Range,Insurance,Financial,Property/Casualty Ins,26.8665
EVBG US,Everbridge Inc,103.5,3.9,-10.5,-4.9,26.9236,12,27.08333397,323.083,9/16/16,29978A104,1.7,6.09E+06,"11.00
 - 13.00
",Priced Within Range,Software,Technology,Enterprise Software/Serv,14.6285
1868549D US,Vantage Energy Inc,100,-32.5,37.4,,0,0,,0, ,92210C106,,, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
OPTV US,Optiv Parent Inc,100,133.7,-1.5,,0,0,,0, ,N.A.,-14979,, ,,Computers,Technology,Computer Data Security,
PR US,Permian Resources Corp,100,58.7,19.2,6.1,0,0,,0, ,71424F105,5.3,7.35E+08, ,,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,104.403
PLYA US,Playa Hotels & Resorts NV,100,-3.9,7.8,3.9,0,0,,0, ,N.A.,0.8,9.90E+07, ,,Lodging,"Consumer, Cyclical",Hotels&Motels,77.4871
PHC US,Performance Health Holdings Corp,100,26.2,4.7,,0,0,,0, ,N.A.,,, ,,Leisure Time,"Consumer, Cyclical",Athletic Equipment,
1808436D US,Blue Coat Inc,100,,,,0,0,,0, ,N.A.,,, ,,Internet,Communications,Internet Security,
YETI US,YETI Holdings Inc,100,10.3,9.6,13.6,0,0,,0, ,98585X104,3,1.03E+08, ,,Leisure Time,"Consumer, Cyclical",Athletic Equipment,124.183
CBSR US,Entercom Media Corp,100,-0.7,-45.2,-12.6,0,0,,0, ,124847401,,1985, ,,Media,Communications,Radio,0.0432019
0290633D US,inVentiv Group Holdings Inc,100,,,,0,0,,0, ,N.A.,,, ,,Pharmaceuticals,"Consumer, Non-cyclical",Medical-Drugs,
UGC US,United Guaranty Corp,100,,39,,0,0,,0, ,N.A.,123507,, ,,Diversified Finan Serv,Financial,Finance-Mtge Loan/Banker,
