Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
MDLZ US,Mondelez International Inc,8680,1.1,12.6,6.5,1735,31,0.8064516187,53785,6/13/01,609207105,3.6,1.13E+09,"30.00
 - 31.00
",Priced Within Range,Food,"Consumer, Non-cyclical",Food-Confectionery,87.133
PRU US,Prudential Financial Inc,3478.75,30.4,3.8,0.3,566.3,27.5,6.545454502,15573.2,12/13/01,744320102,23.7,2.27E+08,"25.00
 - 30.00
",Priced Within Range,Insurance,Financial,Life/Health Insurance,64.0233
PFG US,Principal Financial Group Inc,2127.5,18,9.7,0.5,360,18.5,13.51351357,6660,10/23/01,74251V102,19.8,1.94E+08,"17.00
 - 20.00
",Priced Within Range,Insurance,Financial,Life/Health Insurance,86.1719
ELV US,Elevance Health Inc,1987.2,3.3,3.3,5.3,102.861,36,13.61111069,3703,10/30/01,36752103,25,2.25E+08,"33.00
 - 37.00
",Priced Within Range,Healthcare-Services,"Consumer, Non-cyclical",Medical-HMO,99.19
KMR US,Kinder Morgan Management LLC,1047.7,,,5.8,14.875,70.41,0.1278175414,1047.35,5/15/01,49455U100,,75133, ,,Pipelines,Energy,Pipelines,0.0552651
PNX US,Phoenix Cos Inc/The,854,1.6,-7.8,-0.4,105,17.5,-4.228571415,1837.5,6/20/01,71902E604,-107.2,45,"14.50
 - 17.00
",Priced Above Range,Insurance,Financial,Life/Health Insurance,0.000775862
RMK US,ARAMARK Corp/Old,793.5,2.2,0.2,,197.334,23,10.43478298,4538.68,12/11/01,38521100,,,"20.00
 - 23.00
",Priced Within Range,Commercial Services,"Consumer, Non-cyclical",Divers Oper/Commer Serv,
RQI US,Cohen & Steers Quality Income Realty Fund Inc,575.73,,,,0,15,0.06666667014,0,2/26/02,19247L106,,2.58E+07,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,19.2239
1912203D US,Norway Acquisition Corp,533.6,,,7.1,236.4,14.5,21.72413826,3427.8,5/18/01,457750107,,9958,"11.50
 - 13.50
",Priced Above Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,0.00292333
PCN US,PIMCO Corporate & Income Strategy Fund,513.75,,,,0,15,0.06666667014,0,12/19/01,72200U100,,9.51E+06,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,14.6571
