Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
UBER US,Uber Technologies Inc,8100,17.9,22.4,21.9,1682.52,45,-7.622222424,75713.4,5/10/19,90353T100,3.4,1.94E+09,"44.00
 - 50.00
",Priced Within Range,Internet,Communications,E-Commerce/Services,92.7454
AVTR US,Avantor Inc,3332.7,-2.6,10.4,5.6,596.39,14,3.571428537,8349.46,5/17/19,05352A100,1.2,7.90E+08,"14.00
 - 15.00
",Priced Within Range,Healthcare-Products,"Consumer, Non-cyclical",Diagnostic Equipment,115.906
BMEZ US,BlackRock Health Sciences Term Trust,2250,,,,0,20,0.200000003,0,1/29/20,9.26E+108,,4.67E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,46.109
PINS US,Pinterest Inc,1638.75,19.3,51,41.6,86.25,19,28.42105293,1638.75,4/18/19,72352L106,1.4,5.62E+08,"15.00
 - 17.00
",Priced Above Range,Internet,Communications,Internet Content-Entmnt,94.6213
BSTZ US,BlackRock Science and Technology Term Trust,1500,,,,0,20,0.1000000015,0,6/26/19,09260K101,,2.32E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,32.8662
REYN US,Reynolds Consumer Products Inc,1410.38,-1.6,9.5,7.3,209.701,26,9.807692528,5452.23,1/31/20,76171L106,2.3,6.12E+07,"25.00
 - 28.00
",Priced Within Range,Household Products/Wares,"Consumer, Non-cyclical",Consumer Products-Misc,29.0987
SDCCQ US,SmileDirectClub Inc,1346.35,-26.1,-18.3,-13.7,0,23,-27.52173996,0,9/12/19,83192H106,-1.3,2.15E+07,"19.00
 - 22.00
",Priced Above Range,Healthcare-Products,"Consumer, Non-cyclical",Medical Products,16.0671
PTON US,Peloton Interactive Inc,1334,-3.5,-20.4,-12.4,43.4483,29,-11.17241383,1260,9/26/19,70614W100,-0.1,3.31E+08,"26.00
 - 29.00
",Priced Within Range,Leisure Time,"Consumer, Cyclical",Athletic Equipment,88.5279
PTA US,Cohen & Steers Tax-Advantaged Preferred Securities & Income Fund,1250,,,,0,25,0,0,10/28/20,19249X108,,1.20E+07,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,21.6783
TW US,Tradeweb Markets Inc,1242,28.9,29,7,46,27,32.62963104,1242,4/4/19,892672106,4.2,1.28E+08,"24.00
 - 26.00
",Priced Above Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,110.273
CHWY US,Chewy Inc,1023,6.4,3.3,12.6,46.5,22,59.04545593,1023,6/14/19,16679L109,1.4,1.62E+08,"19.00
 - 21.00
",Priced Above Range,Internet,Communications,E-Commerce/Products,83.3082
1934090D US,Wework Inc/NY,1000,105.6,-88.4,,0,0,,0, ,N.A.,-1,, ,,Real Estate,Financial,Real Estate Mgmnt/Servic,
PMTG US,PIMCO Mortgage Income Trust Inc,1000,,,,50,0,,0, ,72204F109,,,"20.00
 - 20.00
",,REITS,Financial,REITS-Mortgage,
DLY US,DoubleLine Yield Opportunities Fund,920,,,,0,20,1.200000048,0,2/26/20,25862D105,,8.89E+06,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,18.3246
ZM US,Zoom Communications Inc,864,3,21.6,9.6,27.3888,36,72.22222137,985.997,4/18/19,98980L101,6.3,2.13E+08,"33.00
 - 35.00
",Priced Above Range,Software,Technology,Communications Software,81.0441
ALIT US,Alight Inc,800,-31.6,-6.7,-1.6,134.962,0,,0, ,01626W101,0.4,5.99E+08,"22.00
 - 25.00
",,Commercial Services,"Consumer, Non-cyclical",Human Resources,112.461
NDMO US,Nuveen Dynamic Municipal Opportunities Fund,780,,,,0,15,0.9333333373,0,8/27/20,67079X102,,9.59E+06,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,16.109
DDOG US,Datadog Inc,745.2,26.1,6.8,3.7,27.6,27,39.07407379,745.2,9/19/19,23804L103,2.5,3.18E+08,"24.00
 - 26.00
",Priced Above Range,Software,Technology,Computer Software,99.7575
LEVI US,Levi Strauss & Co,716.834,2.8,3.3,5.8,42.1667,17,31.8235302,716.834,3/21/19,52736R102,2.2,9.20E+07,"14.00
 - 16.00
",Priced Above Range,Apparel,"Consumer, Cyclical",Apparel Manufacturers,87.9259
