Issuer Ticker,Issuer Name,Offer Size (M),Sales - 1 Yr Growth,Profit Margin,Return on Assets,Shares Outstanding (M),Offer Price,Offer To 1st Close,Market Cap at Offer (M),Trade Date (US),cusip,Cash Flow per Share,Instit Owner (Shares Held),Filing Term Price Range,Priced Range,Industry Group,Industry Sector,Industry Subgroup,Instit Owner (% Shares Out)
V US,Visa Inc,19650.4,10,54.9,21.7,446.6,44,28.40909004,19650.4,3/19/08,92826C839,12.3,1.63E+09,"37.00
 - 42.00
",Priced Above Range,Diversified Finan Serv,Financial,Finance-Credit Card,94.3644
EXG US,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,6034,,,,0,20,0,0,2/23/07,27829F108,,6.88E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,22.4963
BX US,Blackstone Inc,4753.33,64.9,20.9,5.9,234.668,31,13.0967741,7274.71,6/22/07,09260D107,4.5,5.86E+08,"29.00
 - 31.00
",Priced Within Range,Private Equity,Financial,Private Equity,80.3691
MFGLQ US,MF Global Holdings Ltd,2921.39,11.9,-3.6,-0.5,119.632,30,-8.166666985,3588.96,7/19/07,55277J108,-2.4,10306,"36.00
 - 39.00
",Priced Below Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,0.00623096
BGY US,BlackRock Enhanced International Dividend Trust,2126,,,,0,20,0,0,5/25/07,92524107,,5.01E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,53.9454
AWP US,abrdn Global Premier Propertie,2110.32,,,,0,20,0.05000000075,0,4/26/07,00302L108,,1.99E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,22.9606
1923730D AU,Boart Longyear Ltd,1843.6,,,,1485.3,1.85,-2.702703953,2249.62,4/5/07,N.A.,,,"1.76
 - 2.10
",Priced Within Range,Engineering&Construction,Industrial,Engineering/R&D Services,
XCRRX US,Invesco Dynamic Credit Opportunity Fund,1480,,,,0,20,,0,6/27/07,46091B405,,,"20.00
 - 20.00
",Priced Within Range,Debt Fund,Funds,Corporate/Preferred,
ETJ US,Eaton Vance Risk-Managed Diversified Equity Income Fund,1404,,,,0,20,0,0,7/27/07,27829G106,,1.58E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,23.4058
EDD US,Morgan Stanley Emerging Markets Domestic Debt Fund Inc,1395,,,,0,20,0.25,0,4/24/07,617477104,,5.13E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,79.638
AWK US,American Water Works Co Inc,1358.23,10.6,22.4,3.3,165.173,21.5,-4.1860466,3551.22,4/23/08,30420103,10.4,1.94E+08,"24.00
 - 26.00
",Priced Below Range,Water,Utilities,Water,99.6711
TMUS US,T-Mobile US Inc,1322.5,3.6,13.9,5.4,346.248,23,19.13043404,7963.7,4/18/07,872590104,22.1,4.38E+08,"19.00
 - 21.00
",Priced Above Range,Telecommunications,Communications,Cellular Telecom,38.3335
KKR US,KKR & Co Inc,1250,37.7,10.3,0.9,0,0,,0, ,48251W104,7.5,6.04E+08, ,,Private Equity,Financial,Private Equity,68.027
SCU US,Sculptor Capital Management Inc,1152,-36.8,-4.2,-1.6,74.1386,32,-4.21875,2372.44,11/14/07,811246107,-13.4,,"30.00
 - 33.00
",Priced Within Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,
IPI US,Intrepid Potash Inc,1104,-8.7,-83.5,-31.2,74.8431,32,57.5,2394.98,4/22/08,46121Y201,5.6,8.64E+06,"27.00
 - 29.00
",Priced Above Range,Chemicals,Basic Materials,Agricultural Chemicals,64.8948
VMW US,VMware Inc,1100.55,3.8,9.8,4.7,75.12,29,75.86206818,2178.48,8/14/07,928563402,10.1,2.74E+07,"27.00
 - 29.00
",Priced Within Range,Software,Technology,Software Tools,6.3348
TLCR US,Talecris Biotherapeutics Holdings Corp,1064,4.4,10.3,10.7,125.784,19,11.31578922,2389.9,10/1/09,874227101,2,,"18.00
 - 20.00
",Priced Within Range,Biotechnology,"Consumer, Non-cyclical",Medical-Biomedical/Gene,
LIA/U US,Liberty Acquisition Holdings Corp,1035,,,-1.3,0,10,0,0,12/7/07,53015Y206,0.0072059,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
TUX/U US,Trian Acquisition I Corp,920,,-80.9,0.1,0,10,0.400000006,0,1/24/08,8.96E+211,0.00687569,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
EOD US,Allspring Global Dividend Oppo,900,,,,0,20,0,0,3/28/07,94987C103,,1.35E+07,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,31.4227
BFD US,BlackRock Global Equity Income Trust,898.399,,,,0,20,0,0,3/28/07,09255D104,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
CHW US,Calamos Global Dynamic Income Fund,885,,,,0,15,0.06666667014,0,6/27/07,12811L107,,1.74E+07,"15.00
 - 15.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,27.2662
SD US,SandRidge Energy Inc,841.867,-15.7,50.2,10.9,141.851,26,23.07692337,3688.13,11/6/07,80007P869,1.9,2.75E+07,"22.00
 - 24.00
",Priced Above Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,74.072
1236053D US,EnergySolutions Inc,828.506,-0.1,-3,-5.9,0,23,0.04347826168,0,11/14/07,292756202,0.2,,"19.00
 - 21.00
",Priced Above Range,Environmental Control,Industrial,Hazardous Waste Disposal,
ACM US,AECOM,808.45,12,2.5,4,97.6077,20,5.5,1952.15,5/10/07,00766T100,6.1,1.34E+08,"18.00
 - 20.00
",Priced Within Range,Engineering&Construction,Industrial,Engineering/R&D Services,100.965
JGT US,Nuveen Diversified Currency Opportunities Fund,800,,,,0,20,0.1000000015,0,4/26/07,67090N109,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
ADIS LN,Armor Designs Inc,800,765.6,-77.7,-155.2,25.9225,500,,12961.2, ,N.A.,0.0121176,, ,,Metal Fabricate/Hardware,Industrial,Metal Processors&Fabrica,
FYR/U US,Sapphire Industrials Corp,800,,,,100,10,-0.200000003,1000,1/18/08,80306T208,,,"10.00
 - 10.00
",Priced Within Range,Investment Companies,Financial,Investment Companies,
SYA US,Symetra Financial Corp,790,18.3,-3.4,0.4,92.6463,0,,0, ,87151Q106,9.8,,"18.00
 - 20.00
",,Insurance,Financial,Life/Health Insurance,
2237415Z US,Marquee Holdings Inc,789.474,,,2.9,146.176,0,,0, ,N.A.,,,"18.00
 - 20.00
",,Entertainment,"Consumer, Cyclical",Theaters,
2333628Z US,Grand Slam Acquisition Corp,750,,,,93.75,0,,0, ,386468201,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
DFT US,DuPont Fabros Technology Inc,736.575,16.8,29.7,4.5,35.5241,21,8.142857552,746.01,10/19/07,26613Q106,3.9,,"19.00
 - 21.00
",Priced Within Range,REITS,Financial,REITS-Diversified,
1849818D US,Advent Claymore Convertible Securities and Income Fund II,636.118,,,,0,20,0,0,5/25/07,7639107,,521704,"20.00
 - 20.00
",Priced Within Range,Debt Fund,Funds,Unclassified,1.9063
EPB US,El Paso Pipeline Partners LP,575,-0.6,40.5,8,60.9378,20,4.5,1218.76,11/16/07,283702108,3.9,,"19.00
 - 21.00
",Priced Within Range,Pipelines,Energy,Pipelines,
G US,Genpact Ltd,568.235,6.4,10.7,10.4,211.703,14,19.6428566,2963.84,8/1/07,N.A.,3.4,1.88E+08, ,,Computers,Technology,Computer Services,107.316
1327084D US,Tenerity Inc,552.5,-3.3,43.1,41.7,92.2287,0,,0, ,8294100,,8150,"15.00
 - 17.00
",,Advertising,Communications,Direct Marketing,0.0652029
TCW/U US,Triplecrown Acquisition Corp,552,,,0.1,67.2,10,1.100000024,672,10/22/07,89677G208,0.0627375,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
TOH/U US,Resolute Energy Corp,552,21.6,-0.4,-3.8,67.2,10,-0.5,672,9/28/07,429086408,,,"10.00
 - 10.00
",Priced Within Range,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,
CNK US,Cinemark Holdings Inc,537.075,-0.5,10.1,6.2,106.45,19,-0.4736842215,2022.55,4/24/07,17243V102,3.8,1.48E+08,"17.00
 - 19.00
",Priced Within Range,Entertainment,"Consumer, Cyclical",Theaters,121.349
DPO US,Dow 30 Enhanced Premium & Income Fund Inc,535.16,,,,0,20,0.05000000075,0,5/25/07,260537105,,,"20.00
 - 20.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,
CIM US,Chimera Investment Corp,511.25,4,22.5,1.3,37.7049,15,-0.6666666865,565.57,11/16/07,16934Q802,2.5,4.50E+07,"15.00
 - 15.00
",Priced Within Range,REITS,Financial,REITS-Mortgage,55.6536
OWW US,Orbitz Worldwide Inc,510,10,1.8,-0.6,82.9125,15,-3.333333254,1243.69,7/20/07,68557K109,1.3,,"16.00
 - 18.00
",Priced Below Range,Internet,Communications,E-Commerce/Services,
NIE US,Virtus Equity & Convertible Income Fund,507.5,,,,0,25,0,0,2/23/07,92841M101,,8.09E+06,"25.00
 - 25.00
",Priced Within Range,Closed-end Funds,Financial,Closed-end Funds,29.1882
ISB/U US,iStar Acquisition Corp,500,,,,0,0,,0, ,46521W201,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
2308562Z US,MAFS Acquisition Corp,500,,,,0,0,,0, ,N.A.,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
AMC US,AMC Entertainment Holdings Inc,500,-3.6,-7.6,-4,0,0,,0, ,00165C302,-0.1,1.66E+08, ,,Entertainment,"Consumer, Cyclical",Theaters,38.4333
973043Z US,Kayne Anderson Energy/Infrastructure Fund Inc,500,,,,0,0,,0, ,N.A.,,,"25.00
 - 25.00
",,Closed-end Funds,Financial,Closed-end Funds,
2339895Z US,Aldabra 3 Acquisition Corp,500,,,,0,0,,0, ,01408C208,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
2334912Z US,Performance Acquisition Corp,500,,,,0,0,,0, ,71375L200,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
GTATQ US,GT Advanced Technologies Inc,499.95,-59.2,-27.7,-17.8,142.39,16.5,-11.57575798,2349.43,7/23/08,36191U106,-1.3,,"15.50
 - 17.50
",Priced Within Range,Semiconductors,Technology,Semiconductor Equipment,
SLH US,Solera Holdings Inc,483,15.5,-8.8,-3.5,64.982,16,15,1039.71,5/11/07,83421A104,3.1,1.82E+06,"15.00
 - 17.00
",Priced Within Range,Software,Technology,Transactional Software,2.65759
INB US,Cohen & Steers Global Income Builder Inc,465.686,,,,0,20,0,0,7/27/07,19248M103,,2.92E+06,"20.00
 - 20.00
",Priced Within Range,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,12.6488
903484Z US,BGC Partners Inc/Old,460,,,,0,0,,0, ,N.A.,,, ,,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,
1369764D US,RSC Holdings Inc,458.333,23.3,-1.9,1,103.148,22,-13.63636398,2269.26,5/23/07,74972L102,3.1,,"23.00
 - 25.00
",Priced Below Range,Commercial Services,"Consumer, Non-cyclical",Rental Auto/Equipment,
URX/U US,United Refining Energy Corp,450,,,0.1,0,10,-1.200000048,0,12/12/07,911360204,,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
CVI US,CVR Energy Inc,437,-17.7,0.0919842,0.1,86.1413,19,6.578947544,1636.68,10/23/07,12662P108,4,1.03E+08,"18.00
 - 20.00
",Priced Within Range,Oil&Gas,Energy,Oil Refining&Marketing,102.721
HEK/U US,Nuverra Environmental Solutions Inc,432.934,-34.4,-40,-14.1,66.6168,8,0,532.934,11/13/07,422680207,0.8,,"8.00
 - 8.00
",Priced Within Range,Oil&Gas Services,Energy,Oil-Field Services,
DSP/U US,SP Acquisition Holdings Inc,432.896,,,-0.0888375,53.2896,10,0,532.9,10/11/07,78470A203,0.0526067,,"10.00
 - 10.00
",Priced Within Range,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
AMV/U US,B Riley Financial Inc,414,52,-6,-20.1,41.4,10,1,414,8/2/07,02149U200,0.8,,"10.00
 - 10.00
",Priced Within Range,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,
ROICU US,Retail Opportunity Investments Corp,414,,,,0,10,0.1000000015,0,10/18/07,76131N200,,,"10.00
 - 10.00
",Priced Within Range,REITS,Financial,REITS-Shopping Centers,
AII/U US,Boise Inc,414,6.2,2,0.6,0,10,1.200000048,0,6/19/07,01408A202,2.3,,"10.00
 - 10.00
",Priced Within Range,Forest Products&Paper,Basic Materials,Paper&Related Products,
VM US,Virgin Mobile USA Inc,412.5,,,9.9,53.022,15,5,795.33,10/11/07,92769R108,,,"15.00
 - 17.00
",Priced Within Range,Telecommunications,Communications,Cellular Telecom,
2273930Z US,Kanders Acquisition Co Inc,400,,,,50,0,,0, ,N.A.,,,"10.00
 - 10.00
",,Holding Companies-Divers,Diversified,Specified Purpose Acquis,
SOFS US,Stallion Oilfield Services Ltd,400,,,,0,0,,0, ,N.A.,,, ,,Oil&Gas Services,Energy,Oil-Field Services,
